categoryId,subCategoryId,itemId,item,donateAndReuse,curbSidePickup,transferStation,inGarbage,reuse,dropOffLocations,hazWasteFacility,hazNoCharge,donate,warning,caution,inRecycling,didYouKnow,inFoodAndYardWaste,inRecyclingRinseFirst,nextToBinNoCharge,corporateTakeBackPrograms,pickup,hazardous,nextToBin,recycleNextToBinNoCharge,,,,
1,5,1,Bicycles or Bike Parts,,,,Bike parts smaller than 3-inches go in the garbage.,,"Donate or resell usable bikes and parts to scrap metal dealers or community-oriented bike shops like Bike Works or Recycled Cycles.

Bring bikes and parts to city transfer stations to be recycled. No fee.",,,,,,"Clean metal bike parts 3-inches or larger can go in the recycling:

Items must fit in your bin with the lid closed.
Don’t exceed the weight limits printed on your bin.",,,,,,,,,,,,,
1,5,2,Child Car Seats,"Donate car seats in good condition to local thrift stores.

Resell or give it away using sites like Craigslist, Freecycle, and Buy Nothing.",,,Old and expired child car seats go in the garbage.,,,,,,,,,Don’t reuse broken car seats or car seats that have been in accidents. It isn’t safe.,,,,,,,,,,,,
1,5,3,Garden Hoses,,,,Hoses go in the garbage. Cut hose into pieces if it doesn’t fit in your bin with the lid closed.,,,,,,,,,"Old garden hoses can be repurposed to pad ropes used to support new or weak trees.
",,,,,,,,,,,,
1,5,4,Latex Paint,,,,"Dry latex paint by leaving the can open and protected from children and animals.
Separate the lid from the dried paint can and put both in your garbage.
Tip: You can harden large amounts of latex paint by adding cat litter to the can.",,"Drop off unused latex paint, in the original container, for a fee at local locations in the Take it Back network",,,,,,,"Throwing out your dried paint can with the lid removed lets your garbage collector knows the paint is dried.
",,,,,,,,,,,,
1,5,5,Lawn Mowers or Power Equipment,,,You must drain all gas and oil from lawn mowers and other power equipment. Bring emptied mowers and equipment to city transfer stations. No charge for lawn mowers.,,,,,"Bring gas and oil to a household hazardous waste facility. No fee.

Don’t mix fluids together!
Put fluids in a sealed container that is 5 gallons or less.
Limit 50 gallons per trip.",Donate lawn mowers or power equipment in working condition to local thrift stores. Call first to confirm acceptance policies.,,,,,,,,,,,,,,,,
1,5,6,Oil-Based Paint,,,,"Empty oil-based paint cans can go in the garbage:

Remove the lid and let fumes evaporate outside, away from children and animals.
Separate the lid from the dried paint can and put both in your garbage.",,,,Bring oil-based paint to a household hazardous waste facility. No fee.,,,,,Throwing out your dried paint can with the lid removed lets your garbage collector knows the paint is dried.,,,,,,,,,,,,
1,5,7,Plant or Tree Salvage,,,,,,,,,,,,,"You can give your plant a new home through your neighborhood Buy Nothing group or PlantAmnesty.
",Plants and trees go in the food and yard waste. All pieces must be less than 4-inches in diameter and under 4-feet long.,,,,,,,,,,,
1,5,8,Plant Pots,,,,Dirty or ceramic plant pots go in the garbage.,,,,,,,,,Ask about reuse and recycling options where you buy plant pots. Some garden stores and nurseries will take back plastic pots and reuse them.,,Empty and rinsed plastic plant pots go in the recycling.,,,,,,,,,,
1,5,9,Plastic Outdoor Furniture,,,,,,,,,,,,"Rigid plastic outdoor furniture can go in the recycling:

Should be 3-feet or less on all sides
Small amounts of attached metal (such as hinges) are allowed
Remove other materials such as fabric, foam, or wood.",,,,Larger rigid plastic outdoor furniture that doesn’t fit in your recycling bin can be set next to the bin on your recycling collection day.,,,,,,,,,
1,5,10,Tarps,,,,Plastic tarps go in the garbage.,,,,,,,,,,,,,,,,,,,,,
1,5,11,Toys or Sporting Goods,"Donate toys or sporting goods in good condition to local thrift stores.

Resell or give it away using sites like Craigslist, Freecycle, and Buy Nothing.
",,Toys and sporting equipment greater than the above size limits can be taken to city transfer stations. Charge is $30 per trip or $145 per ton if part of a larger load ($30 minimum charge covers up to 420lbs).,Sports equipment and toys not made of metal or rigid plastic.,,,,,,,,"Clean metal toys and sporting equipment 2 feet or less on all sides. Can include small amounts of attached plastic, rubber, or wood.
Clean rigid plastic toys and sporting equipment 3 feet or less on all sides.",,,,,,,,,,,,,
1,6,1,Baking Trays or Cookie Sheets,"Donate baking trays or cookie sheets in good condition to local thrift stores.

Resell or give them away using sites like Craigslist, Freecycle, and Buy Nothing.",,,,,,,,,,,Baking trays and cookie sheets less than two feet in any direction and free of food residue go in the recycling.,,,,,,,,,,,,,
1,6,2,Blenders,"Donate blenders in good condition to local thrift stores.

Resell or give it away using sites like Craigslist, Freecycle, and Buy Nothing.",,Some small household appliances can be recycled as scrap metal for free at city transfer stations.,"Damaged toasters, blenders, food processors and mixers can go in the garbage.",,,,,,,,,,,,,,,,,,,,,
1,6,3,Cookie Tins,,,,,,,,,,,,Cookie tins clean of food debris go in the recycling.,,,,,,,,,,,,,
1,6,4,Food Processors,"Donate food processors in good condition to local thrift stores.

Resell or give it away using sites like Craigslist, Freecycle, and Buy Nothing.",,Some small household appliances can be recycled as scrap metal for free at city transfer stations.,"Damaged toasters, blenders, food processors and mixers can go in the garbage.",,,,,,,,,,,,,,,,,,,,,
1,6,5,Microwaves,"Donate microwaves in working condition to local thrift stores.

Find locations to recycle damaged microwaves via the Take It Back Network.",,,Small microwaves can go in the garbage.,,Bring microwaves to city transfer stations. Charge is $30 per item (limit 2 per load) or $8 per item plus $145 per ton for other materials if part of a larger load.,,,,,,,,,,,,,,,,,,,
1,6,6,Mixers,"Donate mixers in good condition to local thrift stores.

Resell or give it away using sites like Craigslist, Freecycle, and Buy Nothing.",,"Some small household appliances can be recycled as scrap metal for free at city transfer stations.
","Damaged toasters, blenders, food processors and mixers can go in the garbage.",,,,,,,,,,,,,,,,,,,,,
1,6,7,"Mugs, Plates, or Bowls",,,,"Mugs
Plates
Bowls",,,,,,,,,,,,,,,,,,,,,
1,6,8,Toasters,"Donate toasters in good condition to local thrift stores.

Resell or give it away using sites like Craigslist, Freecycle, and Buy Nothing.
",,"Some small household appliances can be recycled as scrap metal for free at city transfer stations.
","Damaged toasters, blenders, food processors and mixers can go in the garbage.",,,,,,,,,,,,,,,,,,,,,
1,6,9,Refrigerators or Freezers,,"You must remove doors and latches from refrigerators and freezers.

Call SPU Customer Service at (206) 684-3000 to request bulky item pickup. An extra bundle of yard waste is a charge of $5.90.","Bring up to 2 residential refrigerators and freezers per visit to city transfer stations. Charge is $30 ($38 for items containing CFCs).

You must remove doors and latches from refrigerators and freezers.",,"Resell or give it away using sites like Craigslist, Freecycle, and Buy Nothing.",,,,,,,,,,,,,,,,,,,,
1,6,10,Reusable Shopping Bags,,,,Reusable cloth shopping bags can go in the garbage.,,"Stained, worn out, ripped, or damaged cloth shopping bags can be turned into new products through Threadcycle. Some local thrift and second-hand stores are partners and will accept these items at their regular collection or drop box locations.",,,,,,"Thick, reusable plastic shopping bags go in the recycling. Bundle together with other recyclable plastic bags (such as newspaper bags, shopping bags, and dry cleaning bags) in a plastic bag.",,,,,,,,,,,,,
1,6,11,Stoves,,"Call SPU Customer Service at (206) 684-3000 to request bulky item pickup. An extra bag, bundle, or can is a charge of $11.55. Each bulky item is a charge of $30.",Bring up to 2 residential appliances per visit to city transfer stations. Charge is $30 ($38 for items containing CFCs).,,"Resell or give it away using sites like Craigslist, Freecycle, and Buy Nothing.",,,,,,,,,,,,,,,,,,,,
1,6,12,Water Filters,,,,Water filters go in the garbage. They are often made of multiple materials and cannot be recycled.,,,,,,,,,,,,,Many water filter companies will accept their used water filters for recycling.,,,,,,,,
1,7,1,Fluorescent Light Bulbs,,,,,,,,Bring up to 10 fluorescent tubes and CFLs per a trip to a household hazardous waste facility or to a LightRecycle location. No fee.,,,,,"Fluorescent tubes and CFLs are banned from the garbage because they contain mercury, which is highly toxic. To prevent breaking the tubes or bulbs and releasing mercury when storing or transporting, wrap them in newspaper or put back in their original packaging.",,,,,,,,,,,,
1,7,2,Halogen or Xenon Light Bulbs,,,,"Halogen and Xenon light bulbs go in the garbage.
",,,,,,,,,"Halogen and xenon light bulbs can’t be recycled because they have different melting points than recyclable glass bottles and jars.
",,,,,,,,,,,,
1,7,3,Holiday Lights,,,,Christmas and holiday lights can go in the garbage.,,,,,,,,,,,,,,,,,,,,,
1,7,4,Incandescent Light Bulbs,,,,Unbroken incandescent light bulbs go in your garbage.,,,,,,,,,,,,,,,,,,,,,
1,7,5,LED Light Bulbs,,,,LED light bulbs go in the garbage.,,,,,,,,,,,,,,,,,,,,,
1,8,1,Candles,,,,Let candle wax cool and dry before putting in the garbage.,,,,,,,,,,,,,,,,,,,,,
1,8,2,Carpet or Padding,,Call SPU Customer Service at (206) 684-3000 to request bulky item pickup. Each bulky item is a charge of $30.,Bring carpet and padding up to 8 feet long and 200 pounds to city transfer stations. Charge is $30 per item (limit 2 per load) or $8 per item plus $145 per ton for other materials if part of a larger load.,Carpet and padding can go in the garbage. Cut into smaller pieces if carpet or padding doesn’t fit in your bin with the lid closed.,,,,,,,,,,,,,,,,,,,,,
1,8,3,Dead Animals,,,,Dead animals weighing less than 15 pounds can be double-bagged and placed in your garbage can.,,,,,,,,,,,,,,"Dead animals weighing more than 15 pounds need to be picked up by animal control. Please call (206)-386-7387.
",,,,,,,
1,8,4,Fireplace or Briquette Ashes,,,,"Fireplace and briquette ashes must be completely cooled, wetted, and placed in a closed box or bag. This prevents ash from scattering when your garbage is collected.
",,,,,,,,,,,,,,,,,,,,,
1,8,5,Gel Packs,,,,Gel hot and cold packs go in the garbage. They are not recyclable or compostable.,,,,,,,,,,,,,,,,,,,,,
1,8,6,Household Furniture,"
Donate furniture in good condition to local thrift stores.

Resell or give away using sites like Craigslist, Freecycle, and Buy Nothing.
","Call SPU Customer Service at (206) 684-3000 to request bulky item pickup. An extra bag, bundle, or can is a charge of $11.55. Each bulky item is a charge of $30.
","You can also bring furniture to city transfer stations. Charge is $30 per item (limit 2 per load) or $8 per item plus $145 per ton for other materials if part of a larger load.
",Furniture can go in the garbage. Break furniture down so it fits in your bin with the lid closed.,,,,,,,,,,,,,,,,,,,,,
1,8,7,Landline Telephones,,,,Landline telephones go in the garbage.,,,,,,,,,,,,,,,,,,,,,
1,8,8,Office Furniture or Equipment,"Donate furniture and equipment in good condition to local thrift stores.

Resell or give it away using sites like Craigslist, Freecycle, and Buy Nothing.","Call SPU Customer Service at (206) 684-3000 to request bulky item pickup. An extra bag, bundle, or can is a charge of $11.55. Each bulky item is a charge of $30.",Bring office furniture and equipment to city transfer stations. Charge is $30 per item (limit 2 per load) or $8 per item plus $145 per ton for other materials if part of a larger load.,,,,,,,,,,,,,,,,,,,,,,
1,8,9,Pet Food,,,,,,,,,,,,,"Wrap wet pet food in newspaper, a paper bag, or a compostable bag to help keep your bin clean.",Both dry and wet pet food can be turned into valuable compost.,,,,,,,,,,,
1,8,10,Pet Waste or Litter,,,,"Bag dog waste, cat waste, and used kitty litter. Tie off the bags and put in the garbage.
",,,,,,,,,"Never flush kitty litter down the toilet!

Pet waste can’t be composted in the food and yard waste or in backyard composting bins.
",,,,,,,,,,,,
1,8,11,Toner or Printer Cartridges,,,,Printer cartridges can go in the garbage.,Some printer cartridge manufactures and stores that sell printer cartridges will take old cartridges back for recycling.,,,,,,,,,,,,,,,,,,,,
1,8,12,Smoke Detectors,,,,Smoke detectors with batteries removed go in the garbage.,,,,,,,,,Some smoke detector manufacturers will take back their old alarms for disposal.,,,,,,,,,,,,
1,8,13,Window Blinds,,,"Plastic, vinyl, and wooden blinds go in the garbage.",,"Resell or give it away using sites like Craigslist, Freecycle, and Buy Nothing.",,,,,,,"Individual metal blind slats go in the recycling. Remove strings, cords, and plastic and put these in the garbage.",,,,,,,,,,,,,
1,8,14,Window or Picture Glass,,,"Bring windows and glass to city transfer stations. Charge is $30 per item (limit 2 per load) or $8 per item plus $145 per ton for other materials if part of a larger load.
","Unbroken windows and window glass can go in the garbage:

Items must fit in your bin with the lid closed.
Don’t exceed the weight limits printed on your bin.",,,,,Some building supply or second use stores accept unbroken windows or other glass in good condition.,,,,,,,,,,,,,,,,
2,1,1,Gutters,,,"Bring gutters 8 feet or less in length to city transfer stations:

Fees apply for plastic gutters.
There is no fee for aluminum gutters.",,,,,,,,,,,,,,,,,,,,,,
2,1,2,Mixed C & D,,,"Bring mixed construction and demolition waste to city transfer stations. Charge is $30 per item (limit 2 per load) or $8 per item plus $145 per ton for other materials if part of a larger load.
",,,,,,,,,,,,,,,,,,,,,,
2,1,3,Plant or Tree Salvage,,,,,,,,,,,,,You can give your plant a new home through your neighborhood Buy Nothing group or PlantAmnesty.,"Plants and trees go in the food and yard waste. All pieces must be less than 4-inches in diameter and under 4-feet long.
",,,,,,,,,,,
2,2,1,Acoustic Ceiling Tile,,,,"Ceiling tiles that don’t contain asbestos can go in the garbage:

Items must fit in your bin with the lid closed.
Don’t exceed the weight limits printed on your bin.",,Bring acoustic ceiling tiles that don’t contain asbestos to city transfer stations. Fees apply.,,,,,,,,,,,,,"If you believe the ceiling tile contains asbestos, contact the Puget Sound Clean Air Agency at (206) 343-8800.",,,,,,
2,2,2,Asbestos,,,,,,,,,,,,,"Because asbestos is harmful to people, animals, and the environment, it must be disposed of at designated facilities.
",,,,,,Bring to an asbestos disposal facility.,,,,,,
2,2,3,Asphalt Roofing,,,,"Asphalt roofing that doesn’t contain asbestos can go in the garbage:

Items must fit in your bin with the lid closed.
Don’t exceed the weight limits printed on your bin.",,Bring asphalt roofing shingles that don’t contain asbestos to city transfer stations. Fees apply.,,,,,,,,,,,,,"If you believe the roofing contains asbestos, contact the Puget Sound Clean Air Agency at (206) 343-8800.",,,,,,
2,2,4,Carpet or Padding,,Call SPU Customer Service at (206) 684-3000 to request bulky item pickup. Each bulky item is a charge of $30.,Bring carpet and padding up to 8 feet long and 200 pounds to city transfer stations. Charge is $30 per item (limit 2 per load) or $8 per item plus $145 per ton for other materials if part of a larger load.,Carpet and padding can go in the garbage. Cut into smaller pieces if carpet or padding doesn’t fit in your bin with the lid closed.,,,,,,,,,,,,,,,,,,,,,
2,3,1,"Ducts. Furnace Parts, Fireplace Inserts",,,,,,"Many scrap metal dealers will buy asbestos-free metal duct, fireplace inserts and furnace parts.",,,,,,,"Duct work, fireplace inserts and furnace parts are not accepted at city transfer stations.",,,,,,"To dispose duct work, fire place inserts, or other materials - that contains asbestos, contact the Puget Sound Clean Air Agency at (206) 343-8800.
",,,,,,
2,3,2,Fiberglass,,,,"Fiberglass can go in the garbage:

Items must fit in your bin with the lid closed.
Don’t exceed the weight limits printed on your bin.",,Bring fiberglass to city transfer stations. Fees apply.,,,,,"Fiberglass can irritate your skin and eyes. Wear gloves, googles, and protective clothing when handling.",,,,,,,,,,,,,,
2,3,3,Furnaces,,,,,,,,,,,,,Many scrap metal dealers will buy asbestos-free metal duct and furnace parts.,,,,,,"To dispose furnaces, furnace parts, or boilers that contain asbestos, contact the Puget Sound Clean Air Agency at (206) 343-8800.",,,,,,
2,3,4,"Metal Sinks, Tubs or Fixtures","You can often donate or resell sinks, tubs, and fixtures to building supply stores that specialize in salvage materials.

Resell or give it away using sites like Craigslist, Freecycle, and Buy Nothing.","
Call SPU Customer Service at (206) 684-3000 to request bulky item pickup. An extra bag, bundle, or can is a charge of $11.55. Each bulky item is a charge of $30.","Bring metal sinks, tubs, and fixtures less than 8 feet on all sides to city transfer stations. Charge is $30 per item (limit 2 per load) or $8 per item plus $145 per ton for other materials if part of a larger load.
",,,,,,,,,"Metal sinks and fixtures go in the recycling:

They must be between 3 inches and 2 feet on all sides.
Small amounts of plastic, wood, or rubber can be attached.
Don’t exceed the weight limits printed on your bin.",,,,,,,,,,,,,
2,3,5,"Porcelain Sinks, Toilets or Tubs","You can often donate or resell sinks, toilets, and tubs to building supply stores that specialize in salvage materials.

Resell or give it away using sites like Craigslist, Freecycle, and Buy Nothing.",,"Bring porcelain sinks, toilets, and tubs to city transfer stations. Charge is $30 per item (limit 2 per load) or $8 per item plus $145 per ton for other materials if part of a larger load.",Porcelain sinks and fixtures can go in the garbage if they don’t exceed the weight limits printed on your bin.,,,,,,,,,,,,,,,,,,,,,
2,4,1,,You can often donate or resell these items to building supply stores that specialize in salvage materials.,,Bring salvaged building materials to city transfer stations. Charge is $30 per item (limit 2 per load) or $8 per item plus $145 per ton for other materials if part of a larger load.,,,,,,,,,,,,,,,,,,,,,,
2,5,1,Brick,,,Bring brick to city transfer stations. Charge is $30 per item (limit 2 per load) or $8 per item plus $145 per ton for other materials if part of a larger load.,"Brick can go in the garbage if it doesn’t exceed the weight limits printed on your bin.
",,,,,You can donate bricks in good condition to many building supply stores which specialize in salvaged materials.,,,,,,,,,,,,,,,,
